"Reg1"	"Reg2"	"Support"	"NA"	"nGRN"	"fisherTest"	"adjustedPvalue"
"1"	"Fosl2"	"Hnf4G"	0.125601509187439	106128	106128	2.68315208010123e-43	5.46692236320627e-43
"2"	"Cdx1"	"Hnf4G"	0.125601509187439	106128	106128	2.68315208010123e-43	5.46692236320627e-43
"3"	"Cdx1"	"Fosl2"	0.125601509187439	106128	106128	2.68315208010123e-43	5.46692236320627e-43
"4"	"Emx1"	"Hlx"	0.054792072505379	46297	46297	0	0
"11"	"Eef1A1"	"Taf1A"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"12"	"Eef1A1"	"Tef"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"13"	"Eef1A1"	"Tap26"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"14"	"Btf3L4"	"Eef1A1"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"15"	"Eef1A1"	"Pwp1"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"16"	"Eef1A1"	"Hmx"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"17"	"Eef1A1"	"Sox4"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"18"	"Eef1A1"	"Myc"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"19"	"Eef1A1"	"Thap4"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"20"	"Dlx5"	"Eef1A1"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"21"	"Taf1A"	"Tef"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"22"	"Taf1A"	"Tap26"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"23"	"Btf3L4"	"Taf1A"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"24"	"Pwp1"	"Taf1A"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"25"	"Hmx"	"Taf1A"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"26"	"Sox4"	"Taf1A"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
